"EOIR ID","EOIR Data","TRAC Id"
MFH,Mahlon F. Hanson,00116
MFR,Michael F. Rahill,00273
MH,Miriam Hayward,00195
MHB,Michael H. Bennett,00178
MHM,Mark H. Metcalf,00122
MJD,Matthew J. D'angelo,00016
MJT,Marilyn J. Teeter,00204
MJY,Michael J. Yamaguchi,00207
MKM,Miriam K. Mills,00175
MKN,Marsha K. Nettles,00041
MKS,Michael K. Suarez,00239
MMT,Mimi Tsankov,00291
MR,Michael Rocco,00024
MRR,Margaret R. Reichenberg,00045
MSY,Mimi S. Yam,00069
MT,Mirlande Tadal,00046
MVJ,Anthony J. Randall,00126
MWS,Michael W. Straus,00064
NAF,Noel A. Ferris,00143
NB,Noel Brennan,00136
NK,Nicole Kim,00255
NRM,Nancy R. Mccormack,00121
NSF,Neale Foster,00251
NWG,Nathan W. Gordon,00241
OJB,O. John Brahos,00026
PAM,Pedro A. Miranda,00123
PAN,Paul A. Nejelski,00224
PAR,Patricia A. Rohan,00153
PAW,Polly A. Webber,00206
PDF,Paul Defonzo,00141
PG,Paul Grussendorf,00264
PJ,Paul L. Johnston,00277
PJM,Philip J. Montante Jr,00023
PLJ,Paul L Johnston,00277
PLM,Philip L. Morace,00150
PMG,Paul M. Gagnon,00017
PMM,Margaret Mcmanus,00149
PMS,Penny M. Smith,00231
PPL,Philip P. Leadbetter,00312
PS,Patricia Sheppard,00020
PSL,Philip S. Law,00068
PTM,Patrick T. Mcdermott,00097
PTW,Phillip T. Williams,00271
PWS,Paul W. Schmidt,00220
RAJ,Anthony J. Randall,00126
RB,Robert Brown,00235
RCH,Roxanne C. Hladylowycz,00073
RCP,Rose Peters,00209
RDN,Robert D. Newberry,00042
RDV,Robert D. Vinikoor,00031
RDW,Robert D. Weisel,00158
REF,Robin E. Feder,00284
RFB,Richard F. Brodsky,00259
RFS,Roger F. Sagerman,00289
RGS,Ronald G. Sonom,00249
RHC,Rodger C. Harris,00313
RHK,Richard H. Knuck,00214
RJB,Robert J. Barrett,00187
RJF,Rex J. Ford,00115
RKM,R. Kevin Mchugh,00021
RLM,Ronald L. Mullins,00081
RLR,Renee L. Renner,00099
RM,Roberto Moreno,00256
RNO,Ronald N. Ohata,00274
ROS,Rafael Ortiz-Segura,00170
ROV,"Robert O. Vicars, Jr.",00079
RPM,Rosalind K. Malloy,00174
RPO,Robert P. Owens,00074
RRO,Richard R. Ozmun,00053
